---- Model: cnn_lstm_128_run_4 ----
Train Losses:
Epoch 1: 0.03158031031489372
Epoch 2: 0.016675256192684174
Epoch 3: 0.013530872762203217
Epoch 4: 0.01255717221647501
Epoch 5: 0.01331975869834423
Epoch 6: 0.010629227384924889
Epoch 7: 0.009134065359830856
Epoch 8: 0.007937563583254814
Epoch 9: 0.008127585984766483
Epoch 10: 0.008848677389323711
Epoch 11: 0.005955635569989681
Epoch 12: 0.007052873261272907
Epoch 13: 0.005760035943239927
Epoch 14: 0.004999220836907625
Epoch 15: 0.007308498956263065
Epoch 16: 0.0060087270103394985
Epoch 17: 0.007329268380999565
Epoch 18: 0.00637209415435791
Epoch 19: 0.006258373614400625
Epoch 20: 0.00487207667902112
Epoch 21: 0.005001118406653404
Epoch 22: 0.005307478830218315
Epoch 23: 0.006007570773363113
Epoch 24: 0.005725661758333445
Epoch 25: 0.005252303555607796
Epoch 26: 0.006077822297811508
Epoch 27: 0.005975761916488409
Epoch 28: 0.005734429229050875
Epoch 29: 0.004225006327033043
Epoch 30: 0.005048530641943216
Epoch 31: 0.004706961568444967
Epoch 32: 0.004016839433461428
Epoch 33: 0.0042307269759476185
Epoch 34: 0.005408414639532566
Epoch 35: 0.0034926750231534243
Epoch 36: 0.004699130542576313
Epoch 37: 0.005114720202982426
Epoch 38: 0.006762755569070578
Epoch 39: 0.005210402887314558
Epoch 40: 0.004862915724515915
Epoch 41: 0.003129639197140932
Epoch 42: 0.004917406477034092
Epoch 43: 0.006045578047633171
Epoch 44: 0.0059541864320635796
Epoch 45: 0.00455885985866189
Epoch 46: 0.0044800895266234875
Epoch 47: 0.005265125073492527
Epoch 48: 0.005535690579563379
Epoch 49: 0.0031184246763587
Epoch 50: 0.005169139709323645
Validation Losses:
Epoch 1: 0.02736483457465263
Epoch 2: 0.013684804016702235
Epoch 3: 0.012213214697294295
Epoch 4: 0.010742006846259498
Epoch 5: 0.009606064943517208
Epoch 6: 0.008672120454353192
Epoch 7: 0.008256779081077331
Epoch 8: 0.007510567461220813
Epoch 9: 0.006801822677011061
Epoch 10: 0.007088174827762294
Epoch 11: 0.0069317417616848506
Epoch 12: 0.0063342602875296845
Epoch 13: 0.006361987947196201
Epoch 14: 0.006243765599463985
Epoch 15: 0.005920627875106374
Epoch 16: 0.005843013488213032
Epoch 17: 0.005564552728851393
Epoch 18: 0.005961430719211955
Epoch 19: 0.0053981205086468245
Epoch 20: 0.005114310605453157
Epoch 21: 0.005404280485512586
Epoch 22: 0.005322743681547901
Epoch 23: 0.004899066872048876
Epoch 24: 0.005359584812859883
Epoch 25: 0.004722736237890389
Epoch 26: 0.0046152189216634885
Epoch 27: 0.00467791803795286
Epoch 28: 0.0046574778949586395
Epoch 29: 0.0047504285855437004
Epoch 30: 0.00443991364659124
Epoch 31: 0.004453286489676498
Epoch 32: 0.004440891344969809
Epoch 33: 0.004249042980237564
Epoch 34: 0.004354774610407576
Epoch 35: 0.00427020305144236
